subjectID,first_second_session,combination_of_trials,inserted_position,first_target,second_target,order_of_stimulus,first_event,second_event,third_event,subject,date,subjects'_age,gender,c1,c2,c3,c4,c5,c6,c7,c8,c9,retention_task,age
1,1,1,#9,6,9,1,flute,pizza,badminton,1,20220709,21,F,0,0,0,0,0,1,0,0,1,2,adults
1,1,1,#9,4,9,2,popper,violin,hamburger,1,20220709,21,F,0,0,0,1,0,0,0,0,1,2,adults
1,1,1,#9,0,6,3,baseball,melon soda float,,1,20220709,21,F,0,0,0,0,0,1,0,0,0,2,adults
1,1,1,#6,6,9,4,cheerleader,orange,saxophone,1,20220709,21,F,0,0,0,0,0,1,0,0,1,1,adults
1,1,1,#9,0,9,5,ice cream,tambourine,,1,20220709,21,F,0,0,0,0,0,0,0,0,1,2,adults
1,1,1,#6,4,7,6,cymbal,watermelon,tennis,1,20220709,21,F,0,0,0,1,0,0,1,0,0,1,adults
1,1,1,#6,6,8,7,chiffon cake,tuba,cap,1,20220709,21,F,0,0,0,0,0,1,0,1,0,1,adults
1,1,1,#9,0,4,8,balloon,pop corn,,1,20220709,21,F,0,0,0,1,0,0,0,0,0,2,adults
1,1,1,#6,4,9,9,electric guitar,chocolate parfait,umbrella,1,20220709,21,F,0,0,0,1,0,0,0,0,1,1,adults
1,1,1,#9,6,7,10,basketball,acoustic guitar,meat,1,20220709,21,F,0,0,0,0,0,1,1,0,0,2,adults
1,1,1,#9,5,9,11,table tennis,keyboard harmonica,crepe,1,20220709,21,F,0,0,0,0,1,0,0,0,0,2,adults
1,1,1,#6,5,7,12,corn,handbell,trumpet,1,20220709,21,F,0,0,0,0,1,0,1,0,0,1,adults
1,2,1,#9,5,8,1,handbell,corn,basketball,1,20220709,21,F,0,0,0,0,1,0,0,1,0,2,adults
1,2,1,#9,6,8,2,keyboard harmonica,table tennis,crepe,1,20220709,21,F,0,0,0,0,0,1,0,1,0,2,adults
1,2,1,#6,5,8,3,balloon,violin,meat,1,20220709,21,F,0,0,0,0,1,0,0,1,0,1,adults
1,2,1,#9,0,7,4,melon soda float,umbrella,,1,20220709,21,F,0,0,0,0,0,0,1,0,0,2,adults
1,2,1,#9,4,7,5,cheerleader,orange,tennis,1,20220709,21,F,0,0,0,1,0,0,1,0,0,2,adults
1,2,1,#6,5,9,6,electric guitar,chocolate parfait,cap,1,20220709,21,F,0,0,0,0,1,0,0,0,1,1,adults
1,2,1,#9,0,5,7,pop corn,saxophone,,1,20220709,21,F,0,0,0,0,1,0,0,0,0,2,adults
1,2,1,#6,6,7,8,ice cream,flute,baseball,1,20220709,21,F,0,0,0,0,0,1,1,0,0,1,adults
1,2,1,#9,0,8,9,cymbal,hamburger,,1,20220709,21,F,0,0,0,0,0,0,0,1,0,2,adults
1,2,1,#9,5,7,10,tuba,soccer ball,chiffon cake,1,20220709,21,F,0,0,0,0,1,0,1,0,0,2,adults
1,2,1,#6,4,8,11,popper,watermelon,trumpet,1,20220709,21,F,0,0,0,1,0,0,0,1,0,2,adults
1,2,1,#9,4,8,12,pizza,badminton,tambourine,1,20220709,21,F,0,0,0,1,0,0,0,1,0,2,adults
2,1,1,#9,4,7,1,cheerleader,orange,tennis,2,20220710,26,M,1,1,1,1,1,1,1,1,1,2,adults
2,1,1,#9,5,7,2,tuba,soccer ball,chiffon cake,2,20220710,26,M,1,1,1,1,1,1,1,1,1,2,adults
2,1,1,#6,4,8,3,popper,watermelon,trumpet,2,20220710,26,M,1,1,1,1,1,1,1,1,1,1,adults
2,1,1,#6,5,9,4,electric guitar,chocolate parfait,cap,2,20220710,26,M,1,1,1,1,1,1,1,1,1,1,adults
2,1,1,#9,0,8,5,cymbal,hamburger,,2,20220710,26,M,1,1,1,1,1,1,1,1,1,2,adults
2,1,1,#9,6,8,6,keyboard harmonica,table tennis,crepe,2,20220710,26,M,1,1,1,1,1,1,1,1,1,2,adults
2,1,1,#9,5,8,7,handbell,corn,basketball,2,20220710,26,M,1,1,1,1,1,1,1,1,1,2,adults
2,1,1,#6,6,7,8,ice cream,flute,baseball,2,20220710,26,M,1,1,1,1,1,1,1,1,1,1,adults
2,1,1,#9,0,5,9,pop corn,saxophone,,2,20220710,26,M,1,1,1,1,1,1,1,1,1,2,adults
2,1,1,#9,4,8,10,pizza,badminton,tambourine,2,20220710,26,M,1,1,1,1,1,1,1,1,1,2,adults
2,1,1,#6,5,8,11,balloon,violin,meat,2,20220710,26,M,1,1,1,1,1,1,1,1,1,1,adults
2,1,1,#9,0,7,12,melon soda float,umbrella,,2,20220710,26,M,1,1,1,1,1,1,1,1,1,2,adults
2,2,1,#6,6,8,1,chiffon cake,tuba,cap,2,20220710,26,M,1,1,1,1,1,1,1,1,1,1,adults
2,2,1,#9,6,7,2,basketball,acoustic guitar,corn,2,20220710,26,M,1,1,1,1,1,1,1,1,1,2,adults
2,2,1,#9,0,9,3,ice cream,tambourine,,2,20220710,26,M,1,1,1,1,1,1,1,1,1,2,adults
2,2,1,#6,6,9,4,cheerleader,orange,saxophone,2,20220710,26,M,1,1,1,1,1,1,1,1,1,1,adults
2,2,1,#9,5,9,5,table tennis,keyboard harmonica,crepe,2,20220710,26,M,1,1,1,1,1,1,1,1,1,2,adults
2,2,1,#6,4,7,6,cymbal,watermelon,tennis,2,20220710,26,M,1,1,1,1,1,1,1,1,1,1,adults
2,2,1,#9,6,9,7,flute,pizza,badminton,2,20220710,26,M,1,1,1,1,1,1,1,1,1,2,adults
2,2,1,#9,0,4,8,balloon,pop corn,,2,20220710,26,M,1,1,1,1,1,1,1,1,1,2,adults
2,2,1,#6,4,9,9,electric guitar,chocolate parfait,umbrella,2,20220710,26,M,1,1,1,1,1,1,1,1,1,1,adults
2,2,1,#9,4,9,10,popper,violin,hamburger,2,20220710,26,M,1,1,1,1,1,1,1,1,1,2,adults
2,2,1,#9,0,6,11,baseball,melon soda float,,2,20220710,26,M,1,1,1,1,1,1,1,1,1,2,adults
2,2,1,#6,5,7,12,meat,handbell,trumpet,2,20220710,26,M,1,1,1,1,1,1,1,1,1,1,adults
3,1,1,#9,5,7,1,tuba,soccer ball,chiffon cake,3,20220711,21,M,1,1,1,1,1,1,1,1,1,2,adults
3,1,1,#9,4,7,2,cheerleader,orange,tennis,3,20220711,21,M,0,0,0,0,0,0,1,0,0,2,adults
3,1,1,#6,6,7,3,ice cream,flute,baseball,3,20220711,21,M,0,0,0,0,0,1,0,0,0,1,adults
3,1,1,#9,0,8,4,cymbal,hamburger,,3,20220711,21,M,0,0,0,0,0,0,0,1,0,2,adults
3,1,1,#9,4,8,5,pizza,badminton,tambourine,3,20220711,21,M,0,0,0,1,0,0,1,0,0,2,adults
3,1,1,#9,0,5,6,pop corn,saxophone,,3,20220711,21,M,0,0,0,0,1,0,0,0,0,2,adults
3,1,1,#6,5,9,7,electric guitar,chocolate parfait,cap,3,20220711,21,M,0,0,0,0,0,1,0,0,1,1,adults
3,1,1,#6,5,8,8,balloon,violin,meat,3,20220711,21,M,0,0,0,0,1,1,0,0,0,1,adults
